Beer_ID,Beer_Name,ABV,Type,Style,Brewery
22173,Reality Czeck,4.8,Pilsner,Czech Pilsener,Moonlight Brewing Company
28157,Braumeister Pils - Saaz,5.7,Pilsner,Czech Pilsener,Victory Brewing Company
1129,AleSmith Weizenbock,8.6,Dark Lager,Weizenbock,AleSmith Brewing Company
15537,Ramstein Winter Wheat Eisbock,11.5,Dark Lager,Eisbock,High Point Brewing Company
2899,Andechser Doppelbock Dunkel,7.1,Dark Lager,Doppelbock,Klosterbrauerei Andechs
6614,U Fleku Dark Lager,4.5,Dark Lager,Euro Dark Lager,U Fleků Pivovaru a Restauraci
224,Schneider Aventinus,8.2,Dark Lager,Weizenbock,Weisses Bräuhaus G. Schneider & Sohn GmbH
11784,Kuhnhenn Raspberry Eisbock,13.5,Dark Lager,Eisbock,Kuhnhenn Brewing Company
131,Ayinger Celebrator Doppelbock,6.7,Dark Lager,Doppelbock,Privatbrauerei Franz Inselkammer KG / Brauerei Aying
30120,Brooklyn Blonde Bock,7.7,Dark Lager,Maibock / Helles Bock,Brooklyn Brewery
2164,Brooklyner Weissebock,8.2,Dark Lager,Weizenbock,Brooklyn Brewery
48597,Double Vision Doppelbock,8.0,Dark Lager,Doppelbock,Grand Teton Brewing Co.
69894,Founders Cashew Mountain Brown,10.0,Brown Ale,American Brown Ale,Founders Brewing Company
48113,Extremely Naughty Goose,8.6,Brown Ale,American Brown Ale,Goose Island Beer Co.
6420,Schumacher Alt,4.6,Brown Ale,Altbier,Brauerei Schumacher
28165,Bender,5.1,Brown Ale,American Brown Ale,Surly Brewing Company
58120,Moe's Bender,5.52,Brown Ale,American Brown Ale,Surly Brewing Company
44410,ALTerior Motive,6.3,Brown Ale,Altbier,COAST Brewing Company
39239,Rye Knot Brown,6.1,Brown Ale,American Brown Ale,COAST Brewing Company
12716,Im Füchschen Alt,4.5,Brown Ale,Altbier,Brauerei Im Füchschen
69935,No Crusts,6.0,Brown Ale,American Brown Ale,The Funky Buddha Lounge & Brewery
6406,Original Schlüssel Alt,5.0,Brown Ale,Altbier,Hausbrauerei Zum Schlüssel
